Week,public_road_mileage
2005-11-22,4009992.769230769
2005-11-29,4010265.3076923075
2005-12-06,4010537.846153846
2005-12-13,4010810.3846153845
2005-12-20,4011082.923076923
2005-12-27,4011355.4615384615
2006-01-02,4011628.0
2006-01-09,4012039.2115384615
2006-01-16,4012450.423076923
2006-01-23,4012861.6346153845
2006-01-30,4013272.846153846
2006-02-06,4013684.0576923075
2006-02-13,4014095.269230769
2006-02-20,4014506.480769231
2006-02-27,4014917.6923076925
2006-03-06,4015328.903846154
2006-03-13,4015740.1153846155
2006-03-20,4016151.326923077
2006-03-27,4016562.5384615385
2006-04-03,4016973.75
2006-04-10,4017384.9615384615
2006-04-17,4017796.173076923
2006-04-24,4018207.3846153845
2006-05-01,4018618.596153846
2006-05-08,4019029.8076923075
2006-05-15,4019441.019230769
2006-05-22,4019852.230769231
2006-05-29,4020263.4423076925
2006-06-05,4020674.653846154
2006-06-12,4021085.8653846155
2006-06-19,4021497.076923077
2006-06-26,4021908.2884615385
2006-07-03,4022319.5
2006-07-10,4022730.7115384615
2006-07-17,4023141.923076923
2006-07-24,4023553.1346153845
2006-07-31,4023964.346153846
2006-08-07,4024375.5576923075
2006-08-14,4024786.769230769
2006-08-21,4025197.980769231
2006-08-28,4025609.1923076925
2006-09-04,4026020.403846154
2006-09-11,4026431.6153846155
2006-09-18,4026842.826923077
2006-09-25,4027254.0384615385
2006-10-02,4027665.25
2006-10-09,4028076.4615384615
2006-10-16,4028487.673076923
2006-10-23,4028898.8846153845
2006-10-30,4029310.096153846
2006-11-06,4029721.3076923075
2006-11-13,4030132.519230769
2006-11-20,4030543.730769231
2006-11-27,4030954.9423076925
2006-12-04,4031366.153846154
2006-12-11,4031777.3653846155
2006-12-18,4032188.576923077
2006-12-25,4032599.7884615385
2007-01-01,4033011.0
2007-01-08,4033303.5849056602
2007-01-15,4033596.169811321
2007-01-22,4033888.754716981
2007-01-29,4034181.3396226414
2007-02-05,4034473.9245283017
2007-02-12,4034766.5094339624
2007-02-19,4035059.0943396227
2007-02-26,4035351.679245283
2007-03-05,4035644.2641509436
2007-03-12,4035936.849056604
2007-03-19,4036229.433962264
2007-03-26,4036522.0188679243
2007-04-02,4036814.603773585
2007-04-09,4037107.1886792453
2007-04-16,4037399.7735849055
2007-04-23,4037692.3584905663
2007-04-30,4037984.9433962265
2007-05-07,4038277.5283018867
2007-05-14,4038570.113207547
2007-05-21,4038862.6981132077
2007-05-28,4039155.283018868
2007-06-04,4039447.867924528
2007-06-11,4039740.452830189
2007-06-18,4040033.037735849
2007-06-25,4040325.6226415094
2007-07-02,4040618.2075471696
2007-07-09,4040910.7924528304
2007-07-16,4041203.3773584906
2007-07-23,4041495.962264151
2007-07-30,4041788.547169811
2007-08-06,4042081.132075472
2007-08-13,4042373.716981132
2007-08-20,4042666.3018867923
2007-08-27,4042958.886792453
2007-09-03,4043251.4716981133
2007-09-10,4043544.0566037735
2007-09-17,4043836.6415094337
2007-09-24,4044129.2264150945
2007-10-01,4044421.8113207547
2007-10-08,4044714.396226415
2007-10-15,4045006.9811320757
2007-10-22,4045299.566037736
2007-10-29,4045592.150943396
2007-11-05,4045884.7358490564
2007-11-12,4046177.320754717
2007-11-19,4046469.9056603773
2007-11-26,4046762.4905660376
2007-12-03,4047055.0754716983
2007-12-10,4047347.6603773586
2007-12-17,4047640.245283019
2007-12-24,4047932.830188679
2007-12-31,4048225.4150943398
2008-01-07,4048518.0
2008-01-14,4048726.346153846
2008-01-21,4048934.6923076925
2008-01-28,4049143.0384615385
2008-02-04,4049351.3846153845
2008-02-11,4049559.730769231
2008-02-18,4049768.076923077
2008-02-25,4049976.423076923
2008-03-03,4050184.769230769
2008-03-10,4050393.1153846155
2008-03-17,4050601.4615384615
