Week,urban_pop
1992-07-20,193496238.07692307
1992-07-27,193567205.6153846
1992-08-03,193638173.15384614
1992-08-10,193709140.69230768
1992-08-17,193780108.23076922
1992-08-24,193851075.76923078
1992-08-31,193922043.30769232
1992-09-07,193993010.84615386
1992-09-14,194063978.3846154
1992-09-21,194134945.92307693
1992-09-28,194205913.46153846
1992-10-05,194276881.0
1992-10-12,194347848.53846154
1992-10-19,194418816.07692307
1992-10-26,194489783.6153846
1992-11-02,194560751.15384614
1992-11-09,194631718.69230768
1992-11-16,194702686.23076922
1992-11-23,194773653.76923078
1992-11-30,194844621.30769232
1992-12-07,194915588.84615386
1992-12-14,194986556.3846154
1992-12-21,195057523.92307693
1992-12-28,195128491.46153846
1993-01-05,195199459.0
1993-01-12,195268831.80769232
1993-01-19,195338204.6153846
1993-01-26,195407577.42307693
1993-02-02,195476950.23076922
1993-02-09,195546323.03846154
1993-02-16,195615695.84615386
1993-02-23,195685068.65384614
1993-03-02,195754441.46153846
1993-03-09,195823814.26923078
1993-03-16,195893187.07692307
1993-03-23,195962559.8846154
1993-03-30,196031932.69230768
1993-04-06,196101305.5
1993-04-13,196170678.30769232
1993-04-20,196240051.1153846
1993-04-27,196309423.92307693
1993-05-04,196378796.73076922
1993-05-11,196448169.53846154
1993-05-18,196517542.34615386
1993-05-25,196586915.15384614
1993-06-01,196656287.96153846
1993-06-08,196725660.76923078
1993-06-15,196795033.57692307
1993-06-22,196864406.3846154
1993-06-29,196933779.19230768
1993-07-06,197003152.0
1993-07-13,197072524.80769232
1993-07-20,197141897.6153846
1993-07-27,197211270.42307693
1993-08-03,197280643.23076922
1993-08-10,197350016.03846154
1993-08-17,197419388.84615386
1993-08-24,197488761.65384614
1993-08-31,197558134.46153846
1993-09-07,197627507.26923078
1993-09-14,197696880.07692307
1993-09-21,197766252.8846154
1993-09-28,197835625.69230768
1993-10-05,197904998.5
1993-10-12,197974371.30769232
1993-10-19,198043744.1153846
1993-10-26,198113116.92307693
1993-11-02,198182489.73076922
1993-11-09,198251862.53846154
1993-11-16,198321235.34615386
1993-11-23,198390608.15384614
1993-11-30,198459980.96153846
1993-12-07,198529353.76923078
1993-12-14,198598726.57692307
1993-12-21,198668099.3846154
1993-12-28,198737472.19230768
1994-01-03,198806845.0
1994-01-10,198873600.15384614
1994-01-17,198940355.30769232
1994-01-24,199007110.46153846
1994-01-31,199073865.6153846
1994-02-07,199140620.76923078
1994-02-14,199207375.92307693
1994-02-21,199274131.07692307
1994-02-28,199340886.23076922
1994-03-07,199407641.3846154
1994-03-14,199474396.53846154
1994-03-21,199541151.69230768
1994-03-28,199607906.84615386
1994-04-04,199674662.0
1994-04-11,199741417.15384614
1994-04-18,199808172.30769232
1994-04-25,199874927.46153846
1994-05-02,199941682.6153846
1994-05-09,200008437.76923078
1994-05-16,200075192.92307693
1994-05-23,200141948.07692307
1994-05-30,200208703.23076922
1994-06-06,200275458.3846154
1994-06-13,200342213.53846154
1994-06-20,200408968.69230768
1994-06-27,200475723.84615386
1994-07-04,200542479.0
1994-07-11,200609234.15384614
1994-07-18,200675989.30769232
1994-07-25,200742744.46153846
1994-08-01,200809499.6153846
1994-08-08,200876254.76923078
1994-08-15,200943009.92307693
1994-08-22,201009765.07692307
1994-08-29,201076520.23076922
1994-09-05,201143275.3846154
1994-09-12,201210030.53846154
1994-09-19,201276785.69230768
1994-09-26,201343540.84615386
1994-10-03,201410296.0
1994-10-10,201477051.15384614
1994-10-17,201543806.30769232
1994-10-24,201610561.46153846
1994-10-31,201677316.6153846
1994-11-07,201744071.76923078
1994-11-14,201810826.92307693
1994-11-21,201877582.07692307
1994-11-28,201944337.23076922
1994-12-05,202011092.3846154
1994-12-12,202077847.53846154
1994-12-19,202144602.69230768
1994-12-26,202211357.84615386
1995-01-02,202278113.0
1995-01-09,202344272.25
1995-01-16,202410431.5
1995-01-23,202476590.75
1995-01-30,202542750.0
1995-02-06,202608909.25
1995-02-13,202675068.5
1995-02-20,202741227.75
1995-02-27,202807387.0
1995-03-06,202873546.25
1995-03-13,202939705.5
1995-03-20,203005864.75
1995-03-27,203072024.0
1995-04-03,203138183.25
1995-04-10,203204342.5
1995-04-17,203270501.75
1995-04-24,203336661.0
1995-05-01,203402820.25
1995-05-08,203468979.5
1995-05-15,203535138.75
1995-05-22,203601298.0
1995-05-29,203667457.25
1995-06-05,203733616.5
1995-06-12,203799775.75
1995-06-19,203865935.0
1995-06-26,203932094.25
1995-07-03,203998253.5
1995-07-10,204064412.75
1995-07-17,204130572.0
1995-07-24,204196731.25
1995-07-31,204262890.5
1995-08-07,204329049.75
1995-08-14,204395209.0
1995-08-21,204461368.25
1995-08-28,204527527.5
1995-09-04,204593686.75
1995-09-11,204659846.0
1995-09-18,204726005.25
1995-09-25,204792164.5
1995-10-02,204858323.75
1995-10-09,204924483.0
1995-10-16,204990642.25
1995-10-23,205056801.5
1995-10-30,205122960.75
1995-11-06,205189120.0
1995-11-13,205255279.25
1995-11-20,205321438.5
1995-11-27,205387597.75
1995-12-04,205453757.0
1995-12-11,205519916.25
1995-12-18,205586075.5
1995-12-25,205652234.75
1996-01-01,205718394.0
1996-01-08,205783079.50943395
1996-01-15,205847765.0188679
1996-01-22,205912450.5283019
1996-01-29,205977136.03773585
1996-02-05,206041821.5471698
1996-02-12,206106507.05660376
1996-02-19,206171192.56603774
1996-02-26,206235878.0754717
1996-03-04,206300563.58490565
1996-03-11,206365249.0943396
1996-03-18,206429934.6037736
1996-03-25,206494620.11320755
1996-04-01,206559305.6226415
1996-04-08,206623991.13207546
1996-04-15,206688676.64150944
1996-04-22,206753362.1509434
1996-04-29,206818047.66037735
1996-05-06,206882733.1698113
1996-05-13,206947418.6792453
1996-05-20,207012104.18867925
1996-05-27,207076789.6981132
1996-06-03,207141475.20754716
1996-06-10,207206160.71698114
1996-06-17,207270846.2264151
1996-06-24,207335531.73584905
1996-07-01,207400217.245283
1996-07-08,207464902.754717
1996-07-15,207529588.26415095
1996-07-22,207594273.7735849
1996-07-29,207658959.28301886
1996-08-05,207723644.79245284
1996-08-12,207788330.3018868
1996-08-19,207853015.81132075
1996-08-26,207917701.3207547
1996-09-02,207982386.8301887
1996-09-09,208047072.33962265
1996-09-16,208111757.8490566
1996-09-23,208176443.35849056
1996-09-30,208241128.86792454
1996-10-07,208305814.3773585
1996-10-14,208370499.88679245
1996-10-21,208435185.3962264
1996-10-28,208499870.9056604
1996-11-04,208564556.41509435
1996-11-11,208629241.9245283
1996-11-18,208693927.43396226
1996-11-25,208758612.94339624
1996-12-02,208823298.4528302
1996-12-09,208887983.96226415
1996-12-16,208952669.4716981
1996-12-23,209017354.9811321
1996-12-30,209082040.49056605
1997-01-07,209146726.0
1997-01-14,209214948.05769232
1997-01-21,209283170.1153846
1997-01-28,209351392.17307693
1997-02-04,209419614.23076922
1997-02-11,209487836.28846154
1997-02-18,209556058.34615386
1997-02-25,209624280.40384614
1997-03-04,209692502.46153846
1997-03-11,209760724.51923078
1997-03-18,209828946.57692307
1997-03-25,209897168.6346154
1997-04-01,209965390.69230768
1997-04-08,210033612.75
1997-04-15,210101834.80769232
1997-04-22,210170056.8653846
1997-04-29,210238278.92307693
1997-05-06,210306500.98076922
1997-05-13,210374723.03846154
1997-05-20,210442945.09615386
1997-05-27,210511167.15384614
1997-06-03,210579389.21153846
1997-06-10,210647611.26923078
1997-06-17,210715833.32692307
1997-06-24,210784055.3846154
1997-07-01,210852277.44230768
1997-07-08,210920499.5
1997-07-15,210988721.55769232
1997-07-22,211056943.6153846
1997-07-29,211125165.67307693
1997-08-05,211193387.73076922
1997-08-12,211261609.78846154
1997-08-19,211329831.84615386
1997-08-26,211398053.90384614
1997-09-02,211466275.96153846
1997-09-09,211534498.01923078
1997-09-16,211602720.07692307
1997-09-23,211670942.1346154
1997-09-30,211739164.19230768
1997-10-07,211807386.25
1997-10-14,211875608.30769232
1997-10-21,211943830.3653846
1997-10-28,212012052.42307693
1997-11-04,212080274.48076922
1997-11-11,212148496.53846154
1997-11-18,212216718.59615386
1997-11-25,212284940.65384614
1997-12-02,212353162.71153846
1997-12-09,212421384.76923078
1997-12-16,212489606.82692307
1997-12-23,212557828.8846154
1997-12-30,212626050.94230768
1998-01-05,212694273.0
1998-01-12,212761807.94230768
1998-01-19,212829342.8846154
1998-01-26,212896877.82692307
1998-02-02,212964412.76923078
1998-02-09,213031947.71153846
1998-02-16,213099482.65384614
1998-02-23,213167017.59615386
1998-03-02,213234552.53846154
1998-03-09,213302087.48076922
1998-03-16,213369622.42307693
1998-03-23,213437157.3653846
1998-03-30,213504692.30769232
1998-04-06,213572227.25
1998-04-13,213639762.19230768
1998-04-20,213707297.1346154
1998-04-27,213774832.07692307
1998-05-04,213842367.01923078
1998-05-11,213909901.96153846
1998-05-18,213977436.90384614
1998-05-25,214044971.84615386
1998-06-01,214112506.78846154
1998-06-08,214180041.73076922
1998-06-15,214247576.67307693
1998-06-22,214315111.6153846
1998-06-29,214382646.55769232
1998-07-06,214450181.5
1998-07-13,214517716.44230768
1998-07-20,214585251.3846154
1998-07-27,214652786.32692307
1998-08-03,214720321.26923078
1998-08-10,214787856.21153846
1998-08-17,214855391.15384614
1998-08-24,214922926.09615386
1998-08-31,214990461.03846154
1998-09-07,215057995.98076922
1998-09-14,215125530.92307693
1998-09-21,215193065.8653846
1998-09-28,215260600.80769232
1998-10-05,215328135.75
1998-10-12,215395670.69230768
1998-10-19,215463205.6346154
1998-10-26,215530740.57692307
1998-11-02,215598275.51923078
1998-11-09,215665810.46153846
1998-11-16,215733345.40384614
1998-11-23,215800880.34615386
1998-11-30,215868415.28846154
1998-12-07,215935950.23076922
1998-12-14,216003485.17307693
1998-12-21,216071020.1153846
1998-12-28,216138555.05769232
1999-01-04,216206090.0
1999-01-11,216273697.44230768
1999-01-18,216341304.8846154
1999-01-25,216408912.32692307
1999-02-01,216476519.76923078
1999-02-08,216544127.21153846
1999-02-15,216611734.65384614
1999-02-22,216679342.09615386
1999-03-01,216746949.53846154
1999-03-08,216814556.98076922
1999-03-15,216882164.42307693
